"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"293","Uttar Pradesh","MOHIBBULLAH (2024-2029)","Elected MP","147000000"
"294","Maharashtra","MOHITE PATIL DHAIRYASHEEL RAJSINH (2024-2029)","Elected MP","195613601.7"
"295","Bihar","Mr Gopal Jee Thakur (2024-2029)","Elected MP","147000000"
"296","West Bengal","Ms Mahua Moitra (2024-2029)","Elected MP","159865046"
"297","Lakshadweep","MUHAMMED HAMDULLAH SAYEED (2024-2029)","Elected MP","153942460.41"
"298","Uttar Pradesh","Mukesh Rajput (2024-2029)","Elected MP","147000000"
"299","Gujarat","MUKESHKUMAR CHANDRAKAANT DALAL (2024-2029)","Elected MP","147000000"
"300","Rajasthan","MURARI LAL MEENA (2024-2029)","Elected MP","147000000"
"301","Tamil Nadu","MURASOLI S (2024-2029)","Elected MP","147000000"
"302","Maharashtra","MURLIDHAR MOHOL (2024-2029)","Elected MP","147000000"
"303","Odisha","NABA CHARAN MAJHI (2024-2029)","Elected MP","147563957.11"
"304","Jharkhand","NALIN SOREN (2024-2029)","Elected MP","147364097.11"
"305","Uttar Pradesh","NARAYAN DAS AHIRWAR (2024-2029)","Elected MP","147000000"
"306","Maharashtra","NARAYAN TATU RANE (2024-2029)","Elected MP","147000000"
"307","Uttar Pradesh","NARESH CHANDRA UTTAM PATEL (2024-2029)","Elected MP","147000000"
"308","Maharashtra","NARESH GANPAT MHASKE (2024-2029)","Elected MP","147000000"
"309","Haryana","NAVEEN JINDAL (2024-2029)","Elected MP","147000000"
"310","Uttar Pradesh","NEERAJ MAURYA (2024-2029)","Elected MP","147000000"
"311","Maharashtra","NILESH DNYANDEV LANKE (2024-2029)","Elected MP","147000000"
"312","Gujarat","NIMUBEN JAYANTIBHAI BAMBHANIYA (2024-2029)","Elected MP","147000000"
"313","Jharkhand","Nishikant Dubey (2024-2029)","Elected MP","147000000"
"314","Maharashtra","Nitin Jairam Gadkari (2024-2029)","Elected MP","168195086.11"
"315","Bihar","Nityanand Rai (2024-2029)","Elected MP","147000000"
"316","Rajasthan","Om Birla (2024-2029)","Elected MP","163906956.6"
"317","Maharashtra","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar (2024-2029)","Elected MP","184758519.11"
"318","Karnataka","P C Mohan (2024-2029)","Elected MP","159995711.11"
"319","Uttar Pradesh","Pankaj Chowdhary (2024-2029)","Elected MP","147000000"
